"location","date","observation","age_group","target"
"01",2019-10-05,0,"0-130","inc death"
"02",2019-10-05,0,"0-130","inc death"
"04",2019-10-05,0,"0-130","inc death"
"05",2019-10-05,0,"0-130","inc death"
"06",2019-10-05,0,"0-130","inc death"
"08",2019-10-05,0,"0-130","inc death"
"09",2019-10-05,0,"0-130","inc death"
"10",2019-10-05,0,"0-130","inc death"
"11",2019-10-05,0,"0-130","inc death"
"12",2019-10-05,0,"0-130","inc death"
"13",2019-10-05,0,"0-130","inc death"
"15",2019-10-05,0,"0-130","inc death"
"16",2019-10-05,0,"0-130","inc death"
"17",2019-10-05,0,"0-130","inc death"
"18",2019-10-05,0,"0-130","inc death"
"19",2019-10-05,0,"0-130","inc death"
"20",2019-10-05,0,"0-130","inc death"
"21",2019-10-05,0,"0-130","inc death"
"22",2019-10-05,0,"0-130","inc death"
"23",2019-10-05,0,"0-130","inc death"
"24",2019-10-05,0,"0-130","inc death"
"25",2019-10-05,0,"0-130","inc death"
"26",2019-10-05,0,"0-130","inc death"
"27",2019-10-05,0,"0-130","inc death"
"28",2019-10-05,0,"0-130","inc death"
"29",2019-10-05,0,"0-130","inc death"
"30",2019-10-05,0,"0-130","inc death"
"31",2019-10-05,0,"0-130","inc death"
"32",2019-10-05,0,"0-130","inc death"
"33",2019-10-05,0,"0-130","inc death"
"34",2019-10-05,0,"0-130","inc death"
"35",2019-10-05,0,"0-130","inc death"
"37",2019-10-05,0,"0-130","inc death"
"38",2019-10-05,0,"0-130","inc death"
"39",2019-10-05,0,"0-130","inc death"
"40",2019-10-05,0,"0-130","inc death"
"41",2019-10-05,0,"0-130","inc death"
"42",2019-10-05,0,"0-130","inc death"
"44",2019-10-05,0,"0-130","inc death"
"45",2019-10-05,0,"0-130","inc death"
"46",2019-10-05,0,"0-130","inc death"
"47",2019-10-05,0,"0-130","inc death"
"48",2019-10-05,0,"0-130","inc death"
"49",2019-10-05,0,"0-130","inc death"
"50",2019-10-05,0,"0-130","inc death"
"51",2019-10-05,0,"0-130","inc death"
"53",2019-10-05,0,"0-130","inc death"
"54",2019-10-05,0,"0-130","inc death"
"55",2019-10-05,0,"0-130","inc death"
"56",2019-10-05,0,"0-130","inc death"
"36",2019-10-05,0,"0-130","inc death"
"US",2019-10-05,0,"0-130","inc death"
"01",2019-10-12,0,"0-130","inc death"
